date	meg_whitman	tim_cook	satya_nadella	marissa_mayer	larry_page	john_donahoe	mark_zuckerberg	dick_costolo	event
230	-14.75	36.97			-8.93			-24.01
231	-14.38	37.82	15.28		-9.6		-33.38	-22.6
232	-13.69	36.18	14.53		-8.74	-37.1	-33.68	-18.7
233	-15.01	33.7	14.63	23.43	-8.24	-37.92	-31.34	-20.05
234		31.84	14.32	23.17		-33.09
235			14.07	23.93		-33.01
236	-14.8			25.04	-8.33	-39.15	-29.7	-20.16
237	-16.63	27.35			-9.77		-30.41	-18.98
238	-17.44	31.44	14.31		-10.76		-27.07	-19.5
239	-15.56	31.65	14.43	23.94	-10.21	-38.47	-25.76	-20.85	{"person":"satya_nadella", "desc":"Unveils Windows 10","link":"http://www.bbc.com/news/technology-29431412"}
240	-16.82	28.13	15.12	23.59	-10.05	-34.09	-24.86
241		25.26	14.56	24.67		-36.6
242			14.21	25.58
243	-17.19			28.96	-9.73	-33.8	-26.49	-22.36	{"person":"mark_zuckerberg", "desc":"Launches Graph Search","link":"http://www.forbes.com/sites/jonathansalembaskin/2013/01/15/facebooks-graph-search-makes-it-official-you-are-its-product/"}
244	-17.37	26.25			-8.95		-28.35	-26.82
245	-20.34	24.1	14.75		-8.34		-29.1	-26.01
246	-17.42	32.08	15.15	32.91	-8.52	-29.17	-28.84	-26.05
247	-15.24	30.67	16.11	32.62	-8.69	-36.38	-29.94	-25.42
248		28.88	16.14	31.83		-32.99
249			14.2	30.85		-28.89
250				31.51	-8.81	-33.04		-25.88
251	-14.47	25.76			-8.63		-27.61	-26.31
252	-13.68	25.18	14.89		-8.42		-27.64	-27.35
253	-13.6	25.62	14.73	29.45	-8.26	-33.02	-26.48	-27.41	{"person":"marissa_mayer", "desc":"Acquires Summly","link":"http://allthingsd.com/20130325/yahoo-acquires-hipster-mobile-news-reader-summly-like-we-said-it-might/"}
254	-16.7	26.2	13.72	28.72	-8	-30.5	-25.85	-28.19
255		25.42	12.4	28.26		-31.69
256			13.63	28.23		-31.03
257	-17.82			26.56	-8.47	-32.5	-23.78	-26.12
258	-15.95	26.3			-9.95		-27.71	-27.41
259	-15.38	26.51	13.27		-11.5		-26.39	-27.51
260	-16.07	27.22	12.63	26.66	-11.41	-28.65	-27	-25.64
261	-15.94	27.57	12.3	27.92	-10.36	-34.02	-30.76	-26.32
262		26.72	12.13	26.53		-27.56			{"person":"satya_nadella", "desc":"Beats Earning Expectations ","link":"http://techcrunch.com/2014/10/23/microsoft-up-3-after-reporting-better-than-expected-fq1-revenue-of-23-20b-eps-of-0-54/"}
263			14.11	32.17		-27.03
264	-17.93			33.55	-9.68	-29.56	-33.53	-26.69
265	-17.79	26.17			-9.27		-33.14	-25.38	{"person":"dick_costolo", "desc":"Beats Forecast, Shares Jump 30%","link":"http://www.cnbc.com/2014/07/29/twitter-posts-earnings-of-2-cents-per-share.html"}
266	-17.92	25.39	13.51		-9.14		-32.11	-10.87
267	-18.02	24.64	12.97	34.64	-7.96	-28.88	-32.98	-11.16
268	-18.87	23.59	13.66	35.13	-4.31	-30.11	-33.83	-12.9
269		25.21	11.85	34.97		-32.64
270			12.45	34.17
271	-21.7				-3.9	-32.73	-34.45	-14.81
272	-23.5	29.31			-4.12		-36.4	-13.5
273	-22.23	28.7	13.42		-3.78		-35.36	-14.27
274	-23.53	31.32	14.11	35.17	-3.09	-32.09	-34.03	-14.78
275	-24.15	30.61	14.88	36.12	-3.4	-34.83	-34.31	-15.23
276		30	16.44	35.34		-33.24
277			16.55	35.88
278	-25.8			35.5	-4.67	-35.5		-15.54
279	-26.94				-4.64		-33.34	-14.25
280	-26.92	30.75	16.57		-4.56		-33.41	-14.46
281	-26.82	33.9	16.3	35.76	-5.68	-32.09	-35.5	-12.55
282	-26.2	34.04	15.72	37.12	-5.4	-32.59	-36.47	-13.88
